LP,R1,S1,P1,C1,H1,d1,D1,R2,S2,P2,C2,H2,d2,D2,R3,S3,P3,C3,H3,d3,D3,R4,S4,P4,C4,H4,d4,D4,T1,T2,T3,T4
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,3,2
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,
3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,,,,
4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,6,1,0,0,0,0,0,4,0,0,0,0,0,0,,,,
5,4,0,0,0,0,0,0,3,0,0,0,0,0,0,9,1,0,0,0,0,0,6,0,0,0,0,0,0,,,,
6,4,0,0,0,0,0,0,5,0,0,0,0,0,0,14,2,0,0,0,0,0,6,1,0,0,0,0,0,,,,
7,4,0,0,0,0,0,0,8,0,0,0,0,0,0,14,3,0,0,0,0,0,9,2,0,0,0,0,0,,,,
8,6,0,0,0,0,0,0,4,1,0,0,0,0,0,21,3,0,0,0,0,0,14,2,0,0,0,0,0,,,,
9,0,1,0,0,0,0,0,6,2,0,0,0,0,0,32,3,0,0,0,0,0,21,3,0,0,0,0,0,,,,
10,0,0,0,0,0,1,0,6,0,2,0,0,0,0,0,5,0,0,0,0,0,32,3,0,0,0,0,0,,,,
11,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,,,,
12,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,,,,
13,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,12,1,0,0,0,0,1,3,0,0,0,0,0,,,,
14,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,18,1,0,0,0,0,0,3,0,0,0,0,0,,,,
15,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,19,1,0,0,0,0,0,3,0,0,0,0,0,,,,
16,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,,,,
17,0,0,0,0,0,0,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,,,,
18,1,0,0,0,0,0,0,8,0,3,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,,,,
19,2,0,0,0,0,0,0,12,0,3,1,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,,,,
20,4,0,0,0,0,0,0,12,0,5,2,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,,,,
21,4,0,0,0,0,0,0,18,0,5,2,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,,,,
22,6,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,0,0,0,0,0,13,8,0,0,0,0,0,,,,
23,0,0,0,0,0,0,0,0,0,6,2,0,0,0,2,0,0,0,0,0,0,20,8,0,0,0,0,0,,,,
24,0,0,0,0,0,0,0,0,0,6,2,0,0,0,4,0,0,0,0,0,0,31,8,0,0,0,0,0,,,,
25,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,47,8,0,0,0,0,0,,,,
26,1,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,47,12,0,0,0,0,0,,,,
27,0,0,0,0,0,0,0,0,0,14,3,0,0,0,1,0,0,0,0,0,0,63,12,0,0,0,0,0,,,,
28,0,0,0,0,0,0,0,0,0,14,3,0,0,0,1,1,0,0,0,0,0,0,12,2,0,0,0,0,,,,
29,0,0,0,0,0,0,0,0,0,18,3,0,0,0,2,1,0,0,0,0,0,12,12,2,0,0,0,0,,,,
30,0,0,0,0,0,0,0,0,0,18,3,0,0,0,3,1,0,0,0,0,0,12,18,2,0,0,0,0,,,,
31,1,0,0,0,0,0,0,0,0,18,5,0,0,0,3,2,0,0,0,0,0,18,0,0,0,0,0,0,,,,
32,2,0,0,0,0,0,0,0,0,20,5,0,0,0,5,2,0,0,0,0,0,18,0,0,0,0,0,0,,,,
33,3,0,0,0,0,0,0,0,0,20,5,0,0,0,8,3,0,0,0,0,0,27,0,0,0,0,0,0,,,,
34,5,0,0,0,0,0,0,1,0,20,5,0,0,0,8,5,0,0,0,0,0,41,0,0,0,0,0,0,,,,
35,8,0,0,0,0,0,0,2,0,0,0,0,0,0,12,5,0,0,0,0,0,42,0,1,0,0,0,0,,,,
36,2,2,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,43,1,1,0,0,0,0,,,,
37,2,1,1,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,43,2,2,0,0,0,0,,,,
38,2,0,1,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,43,2,3,0,0,0,0,,,,
39,2,0,1,0,0,0,0,0,0,0,0,0,0,0,19,5,1,0,0,0,0,43,3,0,1,0,0,0,,,,
40,2,0,1,0,0,0,0,0,0,0,0,0,0,0,19,8,1,0,0,0,0,43,5,1,1,0,0,0,,,,
41,2,0,1,0,0,0,0,0,0,0,0,0,0,0,19,13,1,0,0,0,0,43,5,2,2,0,0,0,,,,
42,2,0,2,0,0,0,0,0,1,0,0,0,0,0,19,13,1,0,0,0,0,2,1,2,1,1,0,0,,,,
